Date,Open,High,Low,Close,Adj Close,Volume,Company
2017-09-28,13.32,13.44,13.12,13.215,13.215,2917348,AIR_FRANCE
2017-09-28,4.36,4.39,4.29,4.3,4.3,50608365,LENOVO
2017-09-29,4.32,4.36,4.28,4.31,4.31,34265084,LENOVO
2017-09-28,74.75,78.099998,73.849998,76.300003,76.300003,5349967,NATIONAL_ALUMINIUM_CO
2017-09-28,496.60000599999995,504.5,487.10000599999995,495.75,495.75,13002,SASKEN
2017-09-28,21200.0,21299.0,20567.699219,20682.400391,20682.400391,14920,BOSCH
2017-09-28,15.6,15.6,15.41,15.52,15.52,4551096,ASSICURAZIONI_DIRECT_LINE
2017-09-28,13.32,13.44,13.12,13.215,13.215,2917348,KLM_ROYAL_DUTCH_AIRLINES
