DT_EOL|ID|ElementID|ElementCount
DT_EOL|6fd6d80d-a397-4838-91b5-00341cfc9628|2231f0eb-8fa2-48c8-8373-1bfdca2b1394|3,0000
DT_EOL|b0ea540c-6846-41c8-8385-0063cbbdd42d|6b20d74c-939e-4ce0-be17-68afbea7fe21|3,0000
DT_EOL|73bbed4a-88bf-48e0-a657-00c3885029bc|706ecfd1-3b15-46b9-9adc-5874b3f6854b|4,0000
DT_EOL|3187e78b-b15e-42c7-9795-00ceaf62799b|fbe1c651-55b2-423a-87c4-3eba5b559d0c|6,0000
DT_EOL|b6f59c6b-b0b6-4e83-8ab7-01299cd0e7a8|f8da0b08-bf5c-4fca-aec8-10b1597a5600|1,0000
DT_EOL|b6f59c6b-b0b6-4e83-8ab7-01299cd0e7a8|a4f0c7ca-c8cb-4d48-ae2d-8df95700ff12|1,0000
DT_EOL|b6f59c6b-b0b6-4e83-8ab7-01299cd0e7a8|3819e1a2-61d8-4579-ab78-868ed4ce3add|1,0000
DT_EOL|3b971602-77c0-4616-8d3b-01ab544d776d|0131b893-219d-44ba-bc70-8f598d5a762a|6,0000
DT_EOL|5a869d8e-4803-4324-bb13-02228c9de04f|6a73807c-448d-4faf-a700-99b1d4371142|3,0000
DT_EOL|6cb63115-5dec-4322-96c6-02368cd556af|3d40369f-e792-4c03-a39f-68fb598474bc|12,0000
DT_EOL|32f04abf-f831-40c2-92d8-023a17917cf5|11456d90-f08b-4f12-856b-8691da4c3a48|1,0000
DT_EOL|32f04abf-f831-40c2-92d8-023a17917cf5|af306292-2ad6-45e6-82e0-a010f48394ce|1,0000
DT_EOL|5a09a143-d146-4fe3-ad45-023c288de9c7|ad246d1f-cf44-443c-a9da-1a9975d6f3a5|6,0000
DT_EOL|11669d7e-7a62-4aae-b597-024e5d22901a|e8d0ace7-4c6b-4395-9675-3bd13a7b3171|1,0000
DT_EOL|11669d7e-7a62-4aae-b597-024e5d22901a|7ff6126b-f32d-4710-a76f-55c5510d3c48|1,0000
DT_EOL|78daf125-4ca1-4cf1-946a-02755a476631|4b712130-9b0f-4de8-85a9-8fb2554a7129|6,0000
DT_EOL|49a757b8-1b7b-459e-bd6d-029626e69ede|3f731ced-4a86-4908-9dd1-667253db7d6f|1,0000
DT_EOL|49a757b8-1b7b-459e-bd6d-029626e69ede|27531e0a-252b-400a-b18d-668425a40fc5|1,0000
DT_EOL|d65a45c1-b30d-4c3c-b5d9-02cb555b0f09|709546ae-198f-42a9-888e-41d9ec72418d|12,0000
DT_EOL|40ff8f96-556a-4e4a-900a-02d6f57ba906|e7a0f60e-937c-45c5-9718-b5a9628d62f6|1,0000
DT_EOL|40ff8f96-556a-4e4a-900a-02d6f57ba906|1f9e5a7c-0c2f-478f-9522-d4756aedd9bd|1,0000
DT_EOL|40ff8f96-556a-4e4a-900a-02d6f57ba906|b19c2b2a-dff0-40c4-b692-f3e73a146806|1,0000
DT_EOL|40ff8f96-556a-4e4a-900a-02d6f57ba906|486b8d78-0066-4bd8-9d31-bdab6ad10717|1,0000
DT_EOL|40ff8f96-556a-4e4a-900a-02d6f57ba906|6351bf72-4a1a-4738-8b65-2737db172c73|1,0000
DT_EOL|40ff8f96-556a-4e4a-900a-02d6f57ba906|0a600dc2-7dd3-4e17-82a7-4df5a3f560ab|1,0000
DT_EOL|ad241a97-672e-4c88-9f01-02dbd0fe4471|7dd36801-20da-4231-b02f-4a7ea2e12391|6,0000
DT_EOL|55e5d4f3-64eb-43fa-bac8-035f90621819|d7ba68d0-445e-4a48-b766-a824e233c9df|6,0000
DT_EOL|2957f204-0ed8-400b-8acd-037a5dc0e47e|1f64a643-0c83-466a-bf05-d92cb1791176|6,0000
DT_EOL|af6128c9-b68a-47df-ad03-03872c5c75cb|c2ef718d-412e-4c0d-8472-b6ba302f610f|1,0000
DT_EOL|af6128c9-b68a-47df-ad03-03872c5c75cb|d8dc00d2-7f22-4520-b4fd-b6eb77f4261e|1,0000
DT_EOL|af6128c9-b68a-47df-ad03-03872c5c75cb|bed54253-1710-4790-b08d-b1d802555e22|1,0000
DT_EOL|a2afd872-ad25-4efd-a5e8-03944f041e8b|2c40473e-467a-477e-96c9-5c15ccb72d37|3,0000
DT_EOL|b87179ca-795d-4c17-b610-03c1f2e9ced6|d37d51f0-8f65-4f60-b6cd-c0fedb581daf|6,0000
DT_EOL|85549ca2-b90c-4275-a619-03e8baafd511|15930956-5394-4ce2-abb3-b8f5706f613f|5,0000
DT_EOL|c4bc8098-24c9-402b-a01e-0408a600047b|5508bd38-6a37-4289-9efe-0c59e143be78|2,0000
DT_EOL|b2e3e7a9-d147-489f-ad16-0498fcb2e1bb|a9f86937-094d-418c-af1a-f5a2e98adb5f|1,0000
DT_EOL|b2e3e7a9-d147-489f-ad16-0498fcb2e1bb|dbf5b921-8d3f-41b5-ab54-5b54c515db93|1,0000
DT_EOL|b2e3e7a9-d147-489f-ad16-0498fcb2e1bb|4765bc00-2a68-45d5-84ca-fe61852b0cd8|1,0000
DT_EOL|b0121ee9-1aa3-42ca-9732-04ee24f8eda2|efa8a37f-c708-4c60-8ae7-c62620dad8bd|2,0000
DT_EOL|22be3276-f448-45ef-9b83-0505aafce604|e988253e-b630-46f4-ba9e-21dcd78d7d5a|6,0000
DT_EOL|b17a1381-492d-4577-92b0-051322b8f46f|6808a3e5-9237-4e50-be3a-409a1120786d|4,0000
DT_EOL|cafeba75-c456-4978-bfa0-053f242f2153|2fee7044-9e51-486a-a3d6-b29cf03108a5|6,0000
DT_EOL|aded9ea7-e601-4225-8bf3-05b6f321ff92|60fd02f1-c837-449f-9d57-838cbd500c0a|6,0000
DT_EOL|443fc55f-d9bc-4d7f-b1ca-061211976359|9ec2c99a-5c37-4019-87b3-b504c02ef259|6,0000
DT_EOL|4f2f10d4-7925-4add-ae84-061c74d7ef7b|fa02b474-1447-4c61-a375-b3ed3e490626|1,0000
DT_EOL|4f2f10d4-7925-4add-ae84-061c74d7ef7b|32bf4493-2652-4b7c-8ad3-12be01e1a44c|1,0000
DT_EOL|bbc5ee91-5a6a-470c-92f1-0622264341cb|a515787a-463a-4d14-9c80-7f23a3b4f690|1,0000
DT_EOL|bbc5ee91-5a6a-470c-92f1-0622264341cb|8e510791-7f3f-4842-986b-7d58ea0f969e|1,0000
DT_EOL|debc29ce-c993-4e56-968d-0626c883c006|2bafcd01-d215-4937-9794-5e6544e47ae9|4,0000
DT_EOL|1bbba326-ca01-4731-8664-0637d6cce223|058bae3a-3939-49c2-9c06-54ec92dd55f1|6,0000
DT_EOL|ee54b0f2-be22-41ee-8b63-0661479a87ea|6a3f68e0-79a7-4f3c-b754-2e36389fa3a3|3,0000
DT_EOL|1b7613eb-a0a7-4de3-8e7b-066a6c96b99d|776ab9a7-bd09-4d63-b461-45eb122203b1|1,0000
DT_EOL|1b7613eb-a0a7-4de3-8e7b-066a6c96b99d|d102eea4-8e83-4fda-8357-2d5f960befdf|1,0000
DT_EOL|1b7613eb-a0a7-4de3-8e7b-066a6c96b99d|267aa25d-b614-40c4-81ad-24a1ec0f82f8|1,0000
DT_EOL|6d98e4e8-f3f5-4c25-a40d-069bbd9af069|d9a4dce2-8deb-409e-8ff2-818164741c52|2,0000
DT_EOL|5119bd56-0d7b-4f61-99ef-06bda5dedaf6|6d519429-0daa-4666-9f9f-9e4f530ec4ba|12,0000
DT_EOL|c79f6920-53f3-4636-b99c-06ea80e5028f|e189a72b-d238-4a0c-a783-7afe3cb5350d|6,0000
DT_EOL|16d34d1c-0141-495c-ac62-06fa7ed25e8b|35d3b7fc-98c5-45a9-8b6c-1b9ba436419d|2,0000
DT_EOL|14a0c458-696d-40c8-912f-0728568b0944|cbf09bb7-9df1-414f-9e1d-ffb500f28725|1,0000
DT_EOL|14a0c458-696d-40c8-912f-0728568b0944|11282243-fa72-47a5-9cbf-a79dd6d33b2e|1,0000
DT_EOL|14a0c458-696d-40c8-912f-0728568b0944|b207e11f-4d6c-4d05-8f1b-a1d413bd89c1|1,0000
DT_EOL|53f6ba34-210e-4762-866d-07474b1fd68f|9eacb1b1-7378-4406-b2f1-ff656aec8dc8|1,0000
DT_EOL|53f6ba34-210e-4762-866d-07474b1fd68f|ebaf0e19-9b70-4c80-ae76-1d617aa00941|1,0000
DT_EOL|53f6ba34-210e-4762-866d-07474b1fd68f|358f8b46-311d-4c79-9e05-ba35c5e57771|1,0000
DT_EOL|af749b42-a043-408c-9bb4-0770fa11185b|3aaaf12a-1a3f-40a3-bd0d-74d8c6011572|6,0000
