DT_EOL|ID|TransactionID|CreateDate|ModifyDate|Deleted|No|Currency|Name|Market|SumInclVAT|SumExclVAT|ItemsCount|SumInclVATCm|SumVATOnly|SumVATOnlyCm|SumExclVATCm|Discount
DT_EOL|61da4336-35e9-4f6c-ab60-2fe4a1033225|1074783|13.12.2016 0:00:00|11.4.2017 13:05:54|0|131660308|PLN|VRATKA/CV/Opravný daňový doklad k fa 131651348|pl|173,4800|141,0500|1|27,9800|32,4300|5,2300|22,7500|0,0000
DT_EOL|a2ce25a3-c8d0-47d9-8875-b1c5ea3308b0|1055200|16.12.2016 0:00:00|23.5.2017 11:07:04|0|1116215242|CZK|VRATKA- CV- reklamace- Opravný daňový doklad k fa 1116174270|cz|949,0000|784,2500|1|949,0000|164,7500|164,7500|784,2500|0,0000
DT_EOL|d63435ce-4429-49ab-bb5e-b6c274d459b9|952580|19.12.2016 0:00:00|22.5.2017 15:13:18|0|131662265|PLN|VRATKA/Opravný daňový doklad k fa 131632086|pl|121,5400|98,7900|1|19,3900|22,7500|3,6300|15,7600|0,0000
DT_EOL|b02ef7a1-5f97-4227-b2e6-f0fea0291154|1105154|20.12.2016 0:00:00|28.4.2017 20:25:50|0|1116217705|CZK|VRATKA - CV Opravný daňový doklad k fa 1116205201|cz|1363,0000|1126,3800|6|1363,0000|236,6200|236,6200|1126,3800|0,0000
DT_EOL|526c0b14-b216-49e1-a3b1-f7ec276597d3|1112161|20.12.2016 0:00:00|28.4.2017 20:25:50|0|1116217743|CZK|VRATKA - CV Opravný daňový doklad k fa 1116210626|cz|934,0000|771,8500|5|934,0000|162,1500|162,1500|771,8500|0,0000
DT_EOL|27c2895f-b882-4df2-9701-0ec02943d4dc|1113173|20.12.2016 0:00:00|28.4.2017 20:25:50|0|1116217744|CZK|VRATKA - CV Opravný daňový doklad k fa 1116210544|cz|728,0000|601,6200|2|728,0000|126,3800|126,3800|601,6200|0,0000
DT_EOL|fb1a5b99-2fa5-40aa-9cc8-71b232042b45|1103853|20.12.2016 0:00:00|28.4.2017 20:25:50|0|1116217746|CZK|VRATKA - CV Opravný daňový doklad k fa 1116205362|cz|94,0000|77,6800|2|94,0000|16,3200|16,3200|77,6800|0,0000
DT_EOL|fd4b68b6-354f-4f21-941b-a8be156b967a|1110194|20.12.2016 0:00:00|28.4.2017 20:25:50|0|1116217753|CZK|VRATKA - CV Opravný daňový doklad k fa 1116209540|cz|368,0000|304,1200|1|368,0000|63,8800|63,8800|304,1200|0,0000
DT_EOL|6aaa0244-6de3-4883-9bc0-3e1450cb0717|1097207|20.12.2016 0:00:00|28.4.2017 20:25:50|0|1116217769|CZK|VRATKA - CV Opravný daňový doklad k fa 1116199876|cz|246,0000|203,2900|1|246,0000|42,7100|42,7100|203,2900|0,0000
DT_EOL|c82c99e0-cbf0-42ed-bf2e-5881a558eef1|1115132|21.12.2016 0:00:00|28.4.2017 20:25:50|0|1116218305|CZK|Opravný daňový doklad k fa 1116211647|cz|553,0000|553,0000|0|553,0000|0,0000|0,0000|553,0000|0,0000
DT_EOL|304e7b16-7163-46cc-a1ca-e6072bcde80e|1107689|22.12.2016 0:00:00|28.4.2017 20:25:50|0|1116218673|CZK|VRATKA - CV Opravný daňový doklad k fa 1116205907|cz|265,0000|219,0000|1|265,0000|46,0000|46,0000|219,0000|0,0000
DT_EOL|2703d474-d4b3-4e1a-ae38-3cceff48af93|1116218688|22.12.2016 0:00:00|28.4.2017 20:25:50|0|1116218695|CZK|Opravný daňový doklad k fa 1116211285|cz|1794,0000|1794,0000|0|1794,0000|0,0000|0,0000|1794,0000|0,0000
DT_EOL|04f44740-d591-4be6-8bda-96b021146c48|1106927|23.12.2016 0:00:00|23.5.2017 12:11:39|0|1116219026|CZK|VRATKA/BD/Opravný daňový doklad k fa 1116205877|cz|2023,0000|1671,8100|3|2023,0000|351,1900|351,1900|1671,8100|0,0000
DT_EOL|d7a38e40-9901-4f81-852d-9ce54da82b48|1124489|4.1.2017 0:00:00|26.5.2017 16:59:00|0|121700686|EUR|VRATKA - CV Opravný daňový doklad k fa 121657123|sk|1249,1300|1041,0800|4|46,2300|208,0500|7,7000|38,5300|0,0000
DT_EOL|fc7d1261-ae04-49b1-abde-57f6dfffc8f5|1120667|5.1.2017 0:00:00|6.6.2017 11:51:13|0|131701038|PLN|VRATKA/CV/Opravný daňový doklad k fa 131662482|pl|4288,2000|3970,5700|1|700,0000|317,6300|51,8500|648,1500|0,0000
DT_EOL|85e9569a-704d-4071-bc12-43e806d63314|1116166269|10.1.2017 0:00:00|28.4.2017 20:05:03|0|111706969|CZK|Opravný daňový doklad k fa 1116166269|cz|46,0000|38,0100|1|46,0000|7,9900|7,9900|38,0100|0,0000
DT_EOL|fec39e8a-1e50-44c7-9cc1-68cddfeba04a|1140944|23.1.2017 0:00:00|11.5.2017 7:23:34|0|111716587|CZK|VRATKA/CV/Opravný daňový doklad k fa 111704930|cz|338,0000|279,3200|1|338,0000|58,6800|58,6800|279,3200|0,0000
DT_EOL|4f461e8c-ae83-4121-af66-d0a30418e76d|1157193|26.1.2017 0:00:00|4.4.2017 10:10:46|0|131709323|PLN|VRATKA/Opravný daňový doklad k fa 131706358 (placeno mBank 1.2.17)|pl|4013,4200|3716,0900|3|649,0000|297,3300|48,0800|600,9200|0,0000
